指标名称,指标值
AdguardTeam_AdguardFilters,1111.0
airbytehq_airbyte,3526.0
alibaba_nacos,1189.0
angular_angular,5380.0
angular_components,1929.0
ankidroid_Anki-Android,1095.0
ansible_ansible,9604.0
ant-design_ant-design,4780.0
apache_airflow,6369.0
apache_apisix,1058.0
apache_arrow,3216.0
apache_beam,5688.0
apache_dolphinscheduler,1566.0
apache_doris,2274.0
apache_flink,5766.0
apache_hudi,1766.0
apache_iceberg,1333.0
apache_pulsar,3077.0
apache_shardingsphere,1984.0
apache_spark,8197.0
apache_superset,3069.0
apache_tvm,3593.0
apple_swift,7770.0
appsmithorg_appsmith,2279.0
archway-network_testnets,6.0
ArduPilot_ardupilot,3264.0
argoproj_argo-cd,1990.0
AUTOMATIC1111_stable-diffusion-webui,538.0
Automattic_jetpack,7160.0
Automattic_wp-calypso,12387.0
aws-amplify_amplify-cli,1371.0
aws_aws-cdk,4043.0
azerothcore_azerothcore-wotlk,1512.0
Azure_azure-cli,3629.0
Azure_azure-powershell,6447.0
Azure_azure-rest-api-specs,11584.0
Azure_azure-sdk-for-java,3390.0
Azure_azure-sdk-for-js,2372.0
Azure_azure-sdk-for-net,6161.0
Azure_azure-sdk-for-python,3101.0
backstage_backstage,3562.0
bevyengine_bevy,2223.0
bioconda_bioconda-recipes,11032.0
bitcoin_bitcoin,3714.0
bitnami_charts,3292.0
brave_brave-browser,973.0
brave_brave-core,3430.0
ccxt_ccxt,1670.0
ceph_ceph,11314.0
Chia-Network_chia-blockchain,1272.0
cilium_cilium,3107.0
CleverRaven_Cataclysm-DDA,6855.0
ClickHouse_ClickHouse,5624.0
cloudflare_cloudflare-docs,2512.0
cms-sw_cmssw,9752.0
cockroachdb_cockroach,6142.0
conan-io_conan-center-index,2528.0
conda-forge_staged-recipes,9126.0
containers_podman,1959.0
coolsnowwolf_lede,815.0
cypress-io_cypress,2062.0
darktable-org_darktable,2462.0
DataDog_datadog-agent,4822.0
dbeaver_dbeaver,1014.0
DefinitelyTyped_DefinitelyTyped,29050.0
demisto_content,6704.0
denoland_deno,1917.0
department-of-veterans-affairs_va.gov-team,4581.0
desktop_desktop,1077.0
directus_directus,1220.0
docker_docs,3774.0
dotnet_aspnetcore,3480.0
dotnet_AspNetCore.Docs,3910.0
dotnet_docs,6004.0
dotnet_efcore,2056.0
dotnet_maui,1025.0
dotnet_roslyn,4845.0
dotnet_runtime,5629.0
education_GitHubGraduation-2022,5324.0
elastic_elasticsearch,8187.0
elastic_kibana,10492.0
electron_electron,4181.0
element-fi_elf-council-frontend,15.0
element-plus_element-plus,1446.0
elementor_elementor,1141.0
envoyproxy_envoy,4387.0
espressif_esp-idf,4319.0
ethereum_ethereum-org-website,2136.0
Expensify_App,2104.0
expo_expo,3357.0
facebook_react,3091.0
facebook_react-native,8211.0
filecoin-project_filecoin-plus-large-datasets,15.0
files-community_Files,863.0
firebase_firebase-android-sdk,1462.0
firebase_flutterfire,1042.0
firstcontributions_first-contributions,50383.0
flathub_flathub,65.0
flutter_engine,3459.0
flutter_flutter,5491.0
flutter_plugins,1554.0
flybywiresim_a32nx,1094.0
freddier_hyperblog,304.0
gatsbyjs_gatsby,9749.0
gentoo_gentoo,16190.0
getsentry_sentry,4829.0
github_codeql,2457.0
github_docs,3577.0
gitpod-io_gitpod,1118.0
go-gitea_gitea,2345.0
godotengine_godot,7660.0
golang_go,7511.0
google-test_signclav2-probe-repo,18.0
google_it-cert-automation-practice,2.0
GoogleChrome_developer.chrome.com,1530.0
gradle_gradle,3723.0
grafana_grafana,8182.0
grafana_loki,2098.0
gravitational_teleport,2583.0
grpc_grpc,3970.0
hashicorp_terraform-provider-aws,4993.0
hashicorp_terraform-provider-azurerm,3769.0
hashicorp_vault,5697.0
helium_denylist,19.0
helix-editor_helix,1154.0
home-assistant_core,11488.0
home-assistant_frontend,1601.0
home-assistant_home-assistant.io,10874.0
Homebrew_homebrew-cask,22958.0
Homebrew_homebrew-core,18319.0
huggingface_transformers,3873.0
idsb3t1_KEEP-pipeline-tests-resources,36.0
influxdata_telegraf,2744.0
IntelRealSense_librealsense,1452.0
istio_istio,3889.0
JacksonKearl_testissues,14.0
JetBrains_swot,10192.0
jitsi_jitsi-meet,2130.0
jlord_patchwork,29372.0
joomla_joomla-cms,4195.0
JuliaLang_julia,9183.0
JuliaRegistries_General,1202.0
Kaiserreich_Kaiserreich-4,24.0
keycloak_keycloak,2864.0
Koenkk_zigbee2mqtt,746.0
kubernetes_kubernetes,15124.0
kubernetes_minikube,1857.0
kubernetes_test-infra,5756.0
kubernetes_website,11072.0
kubevirt_kubevirt,1906.0
laravel_framework,6948.0
leanprover-community_mathlib,4345.0
LeetCode-Feedback_LeetCode-Feedback,15.0
lensapp_lens,611.0
Lightning-AI_lightning,2721.0
llvm_llvm-project,20729.0
logseq_logseq,642.0
macports_macports-ports,6475.0
magento_magento2,9483.0
MarlinFirmware_Marlin,2967.0
mastodon_mastodon,2376.0
matplotlib_matplotlib,2921.0
matrix-org_synapse,2433.0
mattermost_mattermost-webapp,4058.0
mdn_content,4907.0
mdn_translated-content,2944.0
metabase_metabase,1995.0
MetaMask_eth-phishing-detect,931.0
MetaMask_metamask-extension,2496.0
metersphere_metersphere,441.0
microsoft_azuredatastudio,2255.0
microsoft_fluentui,3559.0
microsoft_onnxruntime,5078.0
microsoft_playwright,792.0
microsoft_PowerToys,1216.0
microsoft_terminal,1571.0
microsoft_TypeScript,3322.0
microsoft_vcpkg,5543.0
microsoft_vscode,2359.0
microsoft_vscode-jupyter,360.0
microsoft_winget-pkgs,5070.0
microsoft_WSL,112.0
MicrosoftDocs_azure-docs,29366.0
MicrosoftDocs_microsoft-365-docs,4778.0
MicrosoftDocs_msteams-docs,1259.0
microsoftgraph_microsoft-graph-docs,6166.0
mlflow_mlflow,1359.0
mozilla-mobile_fenix,1993.0
mrdoob_three.js,3591.0
mui_material-ui,5203.0
mui_mui-x,604.0
neovim_neovim,2635.0
newrelic_docs-website,2835.0
nextcloud_desktop,939.0
nextcloud_server,3924.0
NixOS_nixpkgs,37784.0
nodejs_node,58.0
nrfconnect_sdk-nrf,2992.0
nrwl_nx,1882.0
nuxt_framework,824.0
o3de_o3de,1668.0
obsproject_obs-studio,2052.0
odoo_odoo,13599.0
open-mmlab_mmdetection,1035.0
open-telemetry_opentelemetry-collector-contrib,1657.0
OpenAPITools_openapi-generator,3445.0
opencv_opencv,3666.0
openhab_openhab-addons,3237.0
openjdk_jdk,8365.0
openjournals_joss-reviews,14.0
openshift_openshift-docs,5284.0
openshift_release,7276.0
openssl_openssl,2807.0
openvinotoolkit_openvino,3183.0
openwrt_openwrt,4114.0
