指标名称,指标值
AdguardTeam_AdguardFilters,1.62
airbytehq_airbyte,1.56
alibaba_nacos,0.34
angular_angular,0.2
angular_components,0.34
ankidroid_Anki-Android,0.61
ansible_ansible,0.1
ant-design_ant-design,1.15
apache_airflow,0.11
apache_apisix,0.21
apache_arrow,1.63
apache_beam,0.12
apache_dolphinscheduler,0.2
apache_doris,3.24
apache_flink,0.0
apache_hudi,3.42
apache_iceberg,0.75
apache_pulsar,1.52
apache_shardingsphere,1.84
apache_spark,0.0
apache_superset,0.86
apache_tvm,0.0
apple_swift,0.0
appsmithorg_appsmith,0.61
archway-network_testnets,8.46
ArduPilot_ardupilot,0.0
argoproj_argo-cd,2.26
AUTOMATIC1111_stable-diffusion-webui,1.25
Automattic_jetpack,0.0
Automattic_wp-calypso,0.0
aws-amplify_amplify-cli,0.0
aws_aws-cdk,0.35
azerothcore_azerothcore-wotlk,0.12
Azure_azure-cli,0.62
Azure_azure-powershell,0.0
Azure_azure-rest-api-specs,1.2
Azure_azure-sdk-for-java,3.43
Azure_azure-sdk-for-js,1.07
Azure_azure-sdk-for-net,0.3
Azure_azure-sdk-for-python,2.73
backstage_backstage,0.0
bevyengine_bevy,0.0
bioconda_bioconda-recipes,0.33
bitcoin_bitcoin,0.0
bitnami_charts,4.82
brave_brave-browser,0.66
brave_brave-core,0.16
ccxt_ccxt,0.14
ceph_ceph,0.0
Chia-Network_chia-blockchain,9.0
cilium_cilium,2.12
CleverRaven_Cataclysm-DDA,0.0
ClickHouse_ClickHouse,0.98
cloudflare_cloudflare-docs,0.32
cms-sw_cmssw,0.0
cockroachdb_cockroach,0.2
conan-io_conan-center-index,0.0
conda-forge_staged-recipes,0.66
containers_podman,0.92
coolsnowwolf_lede,2.09
cypress-io_cypress,3.2
darktable-org_darktable,3.84
DataDog_datadog-agent,0.3
dbeaver_dbeaver,0.44
DefinitelyTyped_DefinitelyTyped,0.0
demisto_content,1.0
denoland_deno,1.86
department-of-veterans-affairs_va.gov-team,1.86
desktop_desktop,0.0
directus_directus,3.94
docker_docs,0.13
dotnet_aspnetcore,1.92
dotnet_AspNetCore.Docs,0.41
dotnet_docs,2.11
dotnet_efcore,0.0
dotnet_maui,2.29
dotnet_roslyn,0.0
dotnet_runtime,0.0
education_GitHubGraduation-2022,9.09
elastic_elasticsearch,0.0
elastic_kibana,0.0
electron_electron,0.0
element-fi_elf-council-frontend,2.22
element-plus_element-plus,0.0
elementor_elementor,0.48
envoyproxy_envoy,0.63
espressif_esp-idf,0.5
ethereum_ethereum-org-website,1.11
Expensify_App,0.0
expo_expo,1.12
facebook_react,0.0
facebook_react-native,0.0
filecoin-project_filecoin-plus-large-datasets,1.3
files-community_Files,2.94
firebase_firebase-android-sdk,0.0
firebase_flutterfire,0.23
firstcontributions_first-contributions,2.53
flathub_flathub,0.14
flutter_engine,0.0
flutter_flutter,3.61
flutter_plugins,0.14
flybywiresim_a32nx,0.94
freddier_hyperblog,0.21
gatsbyjs_gatsby,2.84
gentoo_gentoo,0.0
getsentry_sentry,0.0
github_codeql,0.0
github_docs,0.0
gitpod-io_gitpod,1.67
go-gitea_gitea,0.0
godotengine_godot,1.01
golang_go,0.0
google-test_signclav2-probe-repo,0.0
google_it-cert-automation-practice,0.26
GoogleChrome_developer.chrome.com,0.0
gradle_gradle,1.01
grafana_grafana,0.0
grafana_loki,0.0
gravitational_teleport,0.82
grpc_grpc,0.0
hashicorp_terraform-provider-aws,0.0
hashicorp_terraform-provider-azurerm,0.14
hashicorp_vault,0.0
helium_denylist,3.33
helix-editor_helix,0.43
home-assistant_core,2.12
home-assistant_frontend,2.9
home-assistant_home-assistant.io,1.21
Homebrew_homebrew-cask,0.0
Homebrew_homebrew-core,0.0
huggingface_transformers,0.19
idsb3t1_KEEP-pipeline-tests-resources,0.0
influxdata_telegraf,0.0
IntelRealSense_librealsense,0.46
istio_istio,0.66
JacksonKearl_testissues,0.0
JetBrains_swot,0.0
jitsi_jitsi-meet,7.27
jlord_patchwork,0.0
joomla_joomla-cms,0.0
JuliaLang_julia,0.0
JuliaRegistries_General,1.79
Kaiserreich_Kaiserreich-4,0.0
keycloak_keycloak,5.86
Koenkk_zigbee2mqtt,0.67
kubernetes_kubernetes,0.0
kubernetes_minikube,0.24
kubernetes_test-infra,0.12
kubernetes_website,0.12
kubevirt_kubevirt,0.66
laravel_framework,0.0
leanprover-community_mathlib,1.16
LeetCode-Feedback_LeetCode-Feedback,0.0
lensapp_lens,2.31
Lightning-AI_lightning,0.61
llvm_llvm-project,6.98
logseq_logseq,0.29
macports_macports-ports,0.13
magento_magento2,0.0
MarlinFirmware_Marlin,0.0
mastodon_mastodon,7.26
matplotlib_matplotlib,0.0
matrix-org_synapse,1.72
mattermost_mattermost-webapp,0.0
mdn_content,0.97
mdn_translated-content,1.07
metabase_metabase,0.0
MetaMask_eth-phishing-detect,4.41
MetaMask_metamask-extension,0.99
metersphere_metersphere,0.0
microsoft_azuredatastudio,0.0
microsoft_fluentui,0.12
microsoft_onnxruntime,0.0
microsoft_playwright,0.0
microsoft_PowerToys,0.64
microsoft_terminal,3.09
microsoft_TypeScript,0.0
microsoft_vcpkg,0.0
microsoft_vscode,0.0
microsoft_vscode-jupyter,0.0
microsoft_winget-pkgs,0.0
microsoft_WSL,0.0
MicrosoftDocs_azure-docs,0.39
MicrosoftDocs_microsoft-365-docs,2.7
MicrosoftDocs_msteams-docs,1.21
microsoftgraph_microsoft-graph-docs,1.91
mlflow_mlflow,0.0
mozilla-mobile_fenix,2.13
mrdoob_three.js,0.0
mui_material-ui,0.1
mui_mui-x,0.91
neovim_neovim,0.0
newrelic_docs-website,1.25
nextcloud_desktop,0.15
nextcloud_server,0.0
NixOS_nixpkgs,0.0
nodejs_node,0.0
nrfconnect_sdk-nrf,0.0
nrwl_nx,1.03
nuxt_framework,1.11
o3de_o3de,0.0
obsproject_obs-studio,3.03
odoo_odoo,0.0
open-mmlab_mmdetection,0.18
open-telemetry_opentelemetry-collector-contrib,2.22
OpenAPITools_openapi-generator,0.0
opencv_opencv,0.0
openhab_openhab-addons,0.51
openjdk_jdk,1.09
openjournals_joss-reviews,0.48
openshift_openshift-docs,0.4
openshift_release,2.6
openssl_openssl,0.0
openvinotoolkit_openvino,0.19
openwrt_openwrt,1.69
oppia_oppia,0.0
PaddlePaddle_Paddle,0.0
PaddlePaddle_PaddleOCR,0.0
pandas-dev_pandas,0.0
php_php-src,0.0
pingcap_tidb,0.88
PixelExperience_android-issues,0.42
postmanlabs_postman-app-support,0.0
PowerShell_PowerShell,0.0
ppy_osu,1.46
PrestaShop_PrestaShop,0.0
prisma_prisma,0.22
project-chip_connectedhomeip,0.0
prusa3d_PrusaSlicer,0.82
python_cpython,0.0
pytorch_pytorch,0.0
qbittorrent_qBittorrent,0.0
qgis_QGIS,0.2
qmk_qmk-firmware,1.11
quarkusio_quarkus,0.0
rails_rails,0.0
rancher_rancher,0.4
rapid7_metasploit-framework,0.0
ray-project_ray,1.54
raycast_extensions,0.0
redis_redis,0.0
Regalis11_Barotrauma,2.14
remix-run_remix,0.0
renovatebot_renovate,1.47
RocketChat_Rocket.Chat,0.11
RPCS3_rpcs3,1.11
rstudio_rstudio,3.33
ruffle-rs_ruffle,3.48
rust-lang_rust,0.0
scikit-learn_scikit-learn,0.0
scipy_scipy,0.0
section-engineering-education_engineering-education,4.55
SerenityOS_serenity,0.38
