指标名称,指标值
AdguardTeam_AdguardFilters,99.0
airbytehq_airbyte,32.0
alibaba_nacos,58.0
angular_angular,99.0
angular_components,87.0
ankidroid_Anki-Android,99.0
ansible_ansible,99.0
ant-design_ant-design,96.0
apache_airflow,94.0
apache_apisix,47.0
apache_arrow,86.0
apache_beam,86.0
apache_dolphinscheduler,49.0
apache_doris,68.0
apache_flink,99.0
apache_hudi,76.0
apache_iceberg,53.0
apache_pulsar,79.0
apache_shardingsphere,87.0
apache_spark,99.0
apache_superset,93.0
apache_tvm,68.0
apple_swift,88.0
appsmithorg_appsmith,33.0
archway-network_testnets,13.0
ArduPilot_ardupilot,99.0
argoproj_argo-cd,62.0
AUTOMATIC1111_stable-diffusion-webui,8.0
Automattic_jetpack,99.0
Automattic_wp-calypso,89.0
aws-amplify_amplify-cli,56.0
aws_aws-cdk,57.0
azerothcore_azerothcore-wotlk,82.0
Azure_azure-cli,81.0
Azure_azure-powershell,99.0
Azure_azure-rest-api-specs,92.0
Azure_azure-sdk-for-java,99.0
Azure_azure-sdk-for-js,56.0
Azure_azure-sdk-for-net,99.0
Azure_azure-sdk-for-python,99.0
backstage_backstage,37.0
bevyengine_bevy,34.0
bioconda_bioconda-recipes,91.0
bitcoin_bitcoin,99.0
bitnami_charts,85.0
brave_brave-browser,61.0
brave_brave-core,61.0
ccxt_ccxt,71.0
ceph_ceph,99.0
Chia-Network_chia-blockchain,40.0
cilium_cilium,80.0
CleverRaven_Cataclysm-DDA,99.0
ClickHouse_ClickHouse,82.0
cloudflare_cloudflare-docs,31.0
cms-sw_cmssw,99.0
cockroachdb_cockroach,99.0
conan-io_conan-center-index,43.0
conda-forge_staged-recipes,91.0
containers_podman,65.0
coolsnowwolf_lede,67.0
cypress-io_cypress,97.0
darktable-org_darktable,99.0
DataDog_datadog-agent,67.0
dbeaver_dbeaver,90.0
DefinitelyTyped_DefinitelyTyped,99.0
demisto_content,80.0
denoland_deno,59.0
department-of-veterans-affairs_va.gov-team,59.0
desktop_desktop,71.0
directus_directus,99.0
docker_docs,79.0
dotnet_aspnetcore,99.0
dotnet_AspNetCore.Docs,98.0
dotnet_docs,95.0
dotnet_efcore,99.0
dotnet_maui,35.0
dotnet_roslyn,99.0
dotnet_runtime,41.0
education_GitHubGraduation-2022,11.0
elastic_elasticsearch,99.0
elastic_kibana,99.0
electron_electron,99.0
element-fi_elf-council-frontend,9.0
element-plus_element-plus,32.0
elementor_elementor,83.0
envoyproxy_envoy,79.0
espressif_esp-idf,80.0
ethereum_ethereum-org-website,54.0
Expensify_App,28.0
expo_expo,80.0
facebook_react,97.0
facebook_react-native,97.0
filecoin-project_filecoin-plus-large-datasets,23.0
files-community_Files,51.0
firebase_firebase-android-sdk,55.0
firebase_flutterfire,44.0
firstcontributions_first-contributions,79.0
flathub_flathub,72.0
flutter_engine,93.0
flutter_flutter,97.0
flutter_plugins,72.0
flybywiresim_a32nx,32.0
freddier_hyperblog,48.0
gatsbyjs_gatsby,95.0
gentoo_gentoo,92.0
getsentry_sentry,99.0
github_codeql,57.0
github_docs,30.0
gitpod-io_gitpod,60.0
go-gitea_gitea,77.0
godotengine_godot,99.0
golang_go,99.0
google-test_signclav2-probe-repo,19.0
google_it-cert-automation-practice,39.0
GoogleChrome_developer.chrome.com,28.0
gradle_gradle,99.0
grafana_grafana,99.0
grafana_loki,52.0
gravitational_teleport,85.0
grpc_grpc,98.0
hashicorp_terraform-provider-aws,70.0
hashicorp_terraform-provider-azurerm,70.0
hashicorp_vault,96.0
helium_denylist,15.0
helix-editor_helix,23.0
home-assistant_core,99.0
home-assistant_frontend,93.0
home-assistant_home-assistant.io,99.0
Homebrew_homebrew-cask,99.0
