指标名称,指标值
AdguardTeam_AdguardFilters,2.29
airbytehq_airbyte,6.8
alibaba_nacos,3.43
angular_angular,5.72
angular_components,5.34
ankidroid_Anki-Android,6.05
ansible_ansible,4.84
ant-design_ant-design,4.59
apache_airflow,6.67
apache_apisix,7.62
apache_arrow,8.83
apache_beam,7.83
apache_dolphinscheduler,4.4
apache_doris,5.35
apache_flink,8.25
apache_hudi,8.81
apache_iceberg,10.0
apache_pulsar,6.07
apache_shardingsphere,3.5
apache_spark,10.0
apache_superset,4.89
apache_tvm,7.84
apple_swift,5.13
appsmithorg_appsmith,5.79
archway-network_testnets,1.92
ArduPilot_ardupilot,5.14
argoproj_argo-cd,4.93
AUTOMATIC1111_stable-diffusion-webui,3.43
Automattic_jetpack,5.22
Automattic_wp-calypso,5.94
aws-amplify_amplify-cli,5.54
aws_aws-cdk,7.23
azerothcore_azerothcore-wotlk,4.5
Azure_azure-cli,6.84
Azure_azure-powershell,6.05
Azure_azure-rest-api-specs,6.72
Azure_azure-sdk-for-java,6.15
Azure_azure-sdk-for-js,6.43
Azure_azure-sdk-for-net,7.09
Azure_azure-sdk-for-python,4.94
backstage_backstage,5.99
bevyengine_bevy,7.51
bioconda_bioconda-recipes,3.32
bitcoin_bitcoin,8.9
bitnami_charts,4.65
brave_brave-browser,3.62
brave_brave-core,7.03
ccxt_ccxt,3.79
ceph_ceph,5.95
Chia-Network_chia-blockchain,4.64
cilium_cilium,6.74
CleverRaven_Cataclysm-DDA,4.57
ClickHouse_ClickHouse,4.38
cloudflare_cloudflare-docs,5.21
cms-sw_cmssw,5.64
cockroachdb_cockroach,4.46
conan-io_conan-center-index,6.92
conda-forge_staged-recipes,6.63
containers_podman,6.3
coolsnowwolf_lede,2.06
cypress-io_cypress,5.56
darktable-org_darktable,4.27
DataDog_datadog-agent,6.55
dbeaver_dbeaver,3.89
DefinitelyTyped_DefinitelyTyped,4.12
demisto_content,6.02
denoland_deno,5.57
department-of-veterans-affairs_va.gov-team,4.48
desktop_desktop,4.95
directus_directus,2.79
docker_docs,3.39
dotnet_aspnetcore,5.62
dotnet_AspNetCore.Docs,4.7
dotnet_docs,4.64
dotnet_efcore,5.8
dotnet_maui,3.57
dotnet_roslyn,9.85
dotnet_runtime,8.87
education_GitHubGraduation-2022,2.67
elastic_elasticsearch,6.24
elastic_kibana,5.45
electron_electron,4.32
element-fi_elf-council-frontend,0.0
element-plus_element-plus,4.16
elementor_elementor,5.8
envoyproxy_envoy,10.0
espressif_esp-idf,2.8
ethereum_ethereum-org-website,4.66
Expensify_App,7.07
expo_expo,4.67
facebook_react,5.14
facebook_react-native,3.01
filecoin-project_filecoin-plus-large-datasets,1.01
files-community_Files,4.26
firebase_firebase-android-sdk,7.23
firebase_flutterfire,4.85
firstcontributions_first-contributions,1.36
flathub_flathub,10.0
flutter_engine,3.6
flutter_flutter,5.74
flutter_plugins,6.24
flybywiresim_a32nx,5.95
freddier_hyperblog,0.11
gatsbyjs_gatsby,4.47
gentoo_gentoo,3.01
getsentry_sentry,5.6
github_codeql,7.56
github_docs,2.49
gitpod-io_gitpod,4.49
go-gitea_gitea,6.33
godotengine_godot,4.21
golang_go,1.65
google-test_signclav2-probe-repo,2.5
google_it-cert-automation-practice,2.5
GoogleChrome_developer.chrome.com,5.94
gradle_gradle,6.71
grafana_grafana,5.47
grafana_loki,5.97
gravitational_teleport,6.74
grpc_grpc,5.12
hashicorp_terraform-provider-aws,4.59
hashicorp_terraform-provider-azurerm,6.62
hashicorp_vault,5.82
helium_denylist,5.07
helix-editor_helix,6.79
home-assistant_core,7.55
home-assistant_frontend,5.64
home-assistant_home-assistant.io,4.28
Homebrew_homebrew-cask,3.17
Homebrew_homebrew-core,2.4
huggingface_transformers,7.73
idsb3t1_KEEP-pipeline-tests-resources,2.98
influxdata_telegraf,6.37
IntelRealSense_librealsense,6.43
istio_istio,5.88
JacksonKearl_testissues,0.23
JetBrains_swot,0.93
jitsi_jitsi-meet,5.33
jlord_patchwork,2.35
joomla_joomla-cms,3.78
JuliaLang_julia,5.8
JuliaRegistries_General,2.87
Kaiserreich_Kaiserreich-4,0.0
keycloak_keycloak,4.26
Koenkk_zigbee2mqtt,2.53
kubernetes_kubernetes,8.26
kubernetes_minikube,4.17
kubernetes_test-infra,5.11
kubernetes_website,6.79
kubevirt_kubevirt,9.47
laravel_framework,3.46
leanprover-community_mathlib,8.42
LeetCode-Feedback_LeetCode-Feedback,1.41
lensapp_lens,5.38
Lightning-AI_lightning,9.31
llvm_llvm-project,2.19
logseq_logseq,3.85
macports_macports-ports,3.8
magento_magento2,3.34
MarlinFirmware_Marlin,2.71
mastodon_mastodon,3.34
matplotlib_matplotlib,5.23
matrix-org_synapse,7.49
mattermost_mattermost-webapp,5.86
mdn_content,3.44
mdn_translated-content,3.53
metabase_metabase,4.93
MetaMask_eth-phishing-detect,3.54
MetaMask_metamask-extension,5.77
metersphere_metersphere,3.46
microsoft_azuredatastudio,5.42
