指标名称,指标值
AdguardTeam_AdguardFilters,3.0
airbytehq_airbyte,3.0
alibaba_nacos,3.0
angular_angular,4.0
angular_components,3.0
ankidroid_Anki-Android,3.0
ansible_ansible,4.0
ant-design_ant-design,4.0
apache_airflow,3.0
apache_apisix,3.0
apache_arrow,3.0
apache_beam,3.0
apache_dolphinscheduler,3.0
apache_doris,3.0
apache_flink,3.0
apache_hudi,3.0
apache_iceberg,3.0
apache_pulsar,3.0
apache_shardingsphere,3.0
apache_spark,3.0
apache_superset,3.0
apache_tvm,3.0
apple_swift,3.0
appsmithorg_appsmith,3.0
archway-network_testnets,4.0
ArduPilot_ardupilot,3.0
argoproj_argo-cd,3.0
AUTOMATIC1111_stable-diffusion-webui,4.0
Automattic_jetpack,3.0
Automattic_wp-calypso,3.0
aws-amplify_amplify-cli,3.0
aws_aws-cdk,3.0
azerothcore_azerothcore-wotlk,3.0
Azure_azure-cli,3.0
Azure_azure-powershell,3.0
Azure_azure-rest-api-specs,3.0
Azure_azure-sdk-for-java,3.0
Azure_azure-sdk-for-js,3.0
Azure_azure-sdk-for-net,3.0
Azure_azure-sdk-for-python,3.0
backstage_backstage,3.0
bevyengine_bevy,3.0
bioconda_bioconda-recipes,3.0
bitcoin_bitcoin,3.0
bitnami_charts,3.0
brave_brave-browser,3.0
brave_brave-core,2.0
ccxt_ccxt,3.0
ceph_ceph,3.0
Chia-Network_chia-blockchain,4.0
cilium_cilium,3.0
CleverRaven_Cataclysm-DDA,3.0
ClickHouse_ClickHouse,3.0
cloudflare_cloudflare-docs,3.0
cms-sw_cmssw,3.0
cockroachdb_cockroach,3.0
conan-io_conan-center-index,3.0
conda-forge_staged-recipes,3.0
containers_podman,3.0
coolsnowwolf_lede,3.0
cypress-io_cypress,3.0
darktable-org_darktable,3.0
DataDog_datadog-agent,3.0
dbeaver_dbeaver,3.0
DefinitelyTyped_DefinitelyTyped,3.0
demisto_content,3.0
denoland_deno,3.0
department-of-veterans-affairs_va.gov-team,3.0
desktop_desktop,3.0
directus_directus,3.0
docker_docs,3.0
dotnet_aspnetcore,4.0
dotnet_AspNetCore.Docs,3.0
dotnet_docs,3.0
dotnet_efcore,3.0
dotnet_maui,3.0
dotnet_roslyn,3.0
dotnet_runtime,3.0
education_GitHubGraduation-2022,4.0
elastic_elasticsearch,3.0
elastic_kibana,3.0
electron_electron,3.0
element-fi_elf-council-frontend,4.0
element-plus_element-plus,3.0
elementor_elementor,3.0
envoyproxy_envoy,3.0
espressif_esp-idf,3.0
ethereum_ethereum-org-website,3.0
Expensify_App,3.0
expo_expo,3.0
facebook_react,3.0
facebook_react-native,4.0
filecoin-project_filecoin-plus-large-datasets,3.0
files-community_Files,3.0
firebase_firebase-android-sdk,3.0
firebase_flutterfire,3.0
firstcontributions_first-contributions,4.0
flathub_flathub,3.0
flutter_engine,3.0
flutter_flutter,4.0
flutter_plugins,3.0
flybywiresim_a32nx,3.0
freddier_hyperblog,3.0
gatsbyjs_gatsby,4.0
gentoo_gentoo,3.0
getsentry_sentry,3.0
github_codeql,3.0
github_docs,3.0
gitpod-io_gitpod,3.0
go-gitea_gitea,3.0
godotengine_godot,4.0
golang_go,3.0
google-test_signclav2-probe-repo,1.0
google_it-cert-automation-practice,4.0
GoogleChrome_developer.chrome.com,3.0
gradle_gradle,3.0
grafana_grafana,3.0
grafana_loki,3.0
gravitational_teleport,3.0
grpc_grpc,3.0
hashicorp_terraform-provider-aws,3.0
hashicorp_terraform-provider-azurerm,3.0
hashicorp_vault,3.0
helium_denylist,3.0
helix-editor_helix,3.0
home-assistant_core,4.0
home-assistant_frontend,3.0
home-assistant_home-assistant.io,3.0
Homebrew_homebrew-cask,3.0
Homebrew_homebrew-core,3.0
huggingface_transformers,3.0
idsb3t1_KEEP-pipeline-tests-resources,1.0
influxdata_telegraf,3.0
IntelRealSense_librealsense,3.0
istio_istio,3.0
JacksonKearl_testissues,1.0
JetBrains_swot,3.0
jitsi_jitsi-meet,4.0
jlord_patchwork,3.0
joomla_joomla-cms,3.0
JuliaLang_julia,3.0
JuliaRegistries_General,3.0
Kaiserreich_Kaiserreich-4,3.0
keycloak_keycloak,3.0
Koenkk_zigbee2mqtt,3.0
kubernetes_kubernetes,4.0
kubernetes_minikube,3.0
kubernetes_test-infra,3.0
kubernetes_website,3.0
kubevirt_kubevirt,3.0
laravel_framework,3.0
leanprover-community_mathlib,3.0
LeetCode-Feedback_LeetCode-Feedback,3.0
lensapp_lens,3.0
Lightning-AI_lightning,3.0
llvm_llvm-project,3.0
logseq_logseq,3.0
macports_macports-ports,3.0
magento_magento2,3.0
MarlinFirmware_Marlin,3.0
mastodon_mastodon,4.0
matplotlib_matplotlib,3.0
matrix-org_synapse,3.0
mattermost_mattermost-webapp,3.0
mdn_content,3.0
mdn_translated-content,3.0
metabase_metabase,3.0
MetaMask_eth-phishing-detect,3.0
MetaMask_metamask-extension,3.0
metersphere_metersphere,3.0
microsoft_azuredatastudio,3.0
microsoft_fluentui,3.0
microsoft_onnxruntime,3.0
microsoft_playwright,3.0
microsoft_PowerToys,4.0
microsoft_terminal,3.0
microsoft_TypeScript,3.0
microsoft_vcpkg,3.0
microsoft_vscode,4.0
microsoft_vscode-jupyter,3.0
microsoft_winget-pkgs,3.0
microsoft_WSL,4.0
MicrosoftDocs_azure-docs,4.0
MicrosoftDocs_microsoft-365-docs,3.0
MicrosoftDocs_msteams-docs,3.0
microsoftgraph_microsoft-graph-docs,3.0
mlflow_mlflow,3.0
mozilla-mobile_fenix,3.0
mrdoob_three.js,3.0
mui_material-ui,3.0
mui_mui-x,3.0
neovim_neovim,3.0
newrelic_docs-website,3.0
nextcloud_desktop,3.0
nextcloud_server,3.0
NixOS_nixpkgs,4.0
nodejs_node,3.0
nrfconnect_sdk-nrf,3.0
nrwl_nx,3.0
nuxt_framework,3.0
o3de_o3de,3.0
obsproject_obs-studio,3.0
odoo_odoo,3.0
open-mmlab_mmdetection,3.0
open-telemetry_opentelemetry-collector-contrib,3.0
OpenAPITools_openapi-generator,3.0
opencv_opencv,3.0
openhab_openhab-addons,3.0
openjdk_jdk,3.0
openjournals_joss-reviews,3.0
openshift_openshift-docs,3.0
openshift_release,3.0
openssl_openssl,3.0
openvinotoolkit_openvino,3.0
openwrt_openwrt,3.0
oppia_oppia,3.0
PaddlePaddle_Paddle,3.0
PaddlePaddle_PaddleOCR,3.0
pandas-dev_pandas,3.0
php_php-src,3.0
pingcap_tidb,3.0
PixelExperience_android-issues,3.0
postmanlabs_postman-app-support,3.0
PowerShell_PowerShell,3.0
