指标名称,指标值
AdguardTeam_AdguardFilters,7.48
airbytehq_airbyte,7.94
alibaba_nacos,3.97
angular_angular,6.87
angular_components,4.98
ankidroid_Anki-Android,4.61
ansible_ansible,6.75
ant-design_ant-design,6.63
apache_airflow,7.59
apache_apisix,5.13
apache_arrow,6.5
apache_beam,5.82
apache_dolphinscheduler,5.48
apache_doris,4.98
apache_flink,5.7
apache_hudi,6.44
apache_iceberg,5.07
apache_pulsar,6.35
apache_shardingsphere,5.65
apache_spark,10.0
apache_superset,7.44
apache_tvm,6.17
apple_swift,8.07
appsmithorg_appsmith,6.69
archway-network_testnets,0.95
ArduPilot_ardupilot,5.84
argoproj_argo-cd,5.67
AUTOMATIC1111_stable-diffusion-webui,10.0
Automattic_jetpack,5.78
Automattic_wp-calypso,8.21
aws-amplify_amplify-cli,4.51
aws_aws-cdk,7.03
azerothcore_azerothcore-wotlk,5.02
Azure_azure-cli,4.78
Azure_azure-powershell,4.35
Azure_azure-rest-api-specs,5.42
Azure_azure-sdk-for-java,5.21
Azure_azure-sdk-for-js,5.27
Azure_azure-sdk-for-net,4.62
Azure_azure-sdk-for-python,4.6
backstage_backstage,5.8
bevyengine_bevy,6.24
bioconda_bioconda-recipes,5.41
bitcoin_bitcoin,8.8
bitnami_charts,4.8
brave_brave-browser,7.33
brave_brave-core,6.78
ccxt_ccxt,5.75
ceph_ceph,7.51
Chia-Network_chia-blockchain,9.1
cilium_cilium,6.85
CleverRaven_Cataclysm-DDA,8.27
ClickHouse_ClickHouse,6.91
cloudflare_cloudflare-docs,4.12
cms-sw_cmssw,6.79
cockroachdb_cockroach,6.24
conan-io_conan-center-index,6.99
conda-forge_staged-recipes,6.54
containers_podman,5.64
coolsnowwolf_lede,8.23
cypress-io_cypress,6.37
darktable-org_darktable,6.25
DataDog_datadog-agent,5.39
dbeaver_dbeaver,5.59
DefinitelyTyped_DefinitelyTyped,6.25
demisto_content,5.08
denoland_deno,8.98
department-of-veterans-affairs_va.gov-team,4.56
desktop_desktop,6.04
directus_directus,4.84
docker_docs,3.62
dotnet_aspnetcore,6.26
dotnet_AspNetCore.Docs,5.69
dotnet_docs,4.03
dotnet_efcore,5.3
dotnet_maui,7.02
dotnet_roslyn,6.09
dotnet_runtime,8.79
education_GitHubGraduation-2022,6.0
elastic_elasticsearch,7.79
elastic_kibana,7.1
electron_electron,7.64
element-fi_elf-council-frontend,0.33
element-plus_element-plus,5.74
elementor_elementor,5.2
envoyproxy_envoy,6.85
