指标名称,指标值
AdguardTeam_AdguardFilters,4.0
airbytehq_airbyte,10.0
alibaba_nacos,1.98
angular_angular,2.57
angular_components,1.09
ankidroid_Anki-Android,3.96
ansible_ansible,2.41
ant-design_ant-design,1.17
apache_airflow,6.65
apache_apisix,5.2
apache_arrow,9.8
apache_beam,10.0
apache_dolphinscheduler,5.0
apache_doris,8.12
apache_flink,10.0
apache_hudi,7.55
apache_iceberg,7.51
apache_pulsar,8.04
apache_shardingsphere,4.31
apache_spark,10.0
apache_superset,3.58
apache_tvm,8.05
apple_swift,10.0
appsmithorg_appsmith,10.0
archway-network_testnets,1.67
ArduPilot_ardupilot,5.69
argoproj_argo-cd,2.15
AUTOMATIC1111_stable-diffusion-webui,2.02
Automattic_jetpack,9.19
Automattic_wp-calypso,10.0
aws-amplify_amplify-cli,2.43
aws_aws-cdk,3.74
azerothcore_azerothcore-wotlk,5.2
Azure_azure-cli,2.21
Azure_azure-powershell,5.31
Azure_azure-rest-api-specs,6.9
Azure_azure-sdk-for-java,8.34
Azure_azure-sdk-for-js,9.56
Azure_azure-sdk-for-net,6.43
Azure_azure-sdk-for-python,6.77
backstage_backstage,9.43
bevyengine_bevy,6.75
bioconda_bioconda-recipes,9.21
bitcoin_bitcoin,5.78
bitnami_charts,3.8
brave_brave-browser,2.08
brave_brave-core,10.0
ccxt_ccxt,2.4
ceph_ceph,10.0
Chia-Network_chia-blockchain,1.74
cilium_cilium,10.0
CleverRaven_Cataclysm-DDA,6.39
ClickHouse_ClickHouse,5.53
cloudflare_cloudflare-docs,9.46
cms-sw_cmssw,10.0
cockroachdb_cockroach,10.0
conan-io_conan-center-index,7.55
conda-forge_staged-recipes,8.03
containers_podman,4.69
coolsnowwolf_lede,1.16
cypress-io_cypress,1.84
darktable-org_darktable,5.06
DataDog_datadog-agent,10.0
dbeaver_dbeaver,1.38
DefinitelyTyped_DefinitelyTyped,4.03
demisto_content,10.0
denoland_deno,3.46
department-of-veterans-affairs_va.gov-team,6.59
desktop_desktop,1.26
directus_directus,2.17
docker_docs,3.95
dotnet_aspnetcore,2.1
dotnet_AspNetCore.Docs,4.25
dotnet_docs,4.62
dotnet_efcore,2.12
dotnet_maui,3.47
dotnet_roslyn,6.9
dotnet_runtime,5.54
education_GitHubGraduation-2022,5.69
elastic_elasticsearch,6.45
elastic_kibana,6.22
electron_electron,1.24
element-fi_elf-council-frontend,2.06
element-plus_element-plus,3.26
elementor_elementor,1.84
envoyproxy_envoy,7.09
espressif_esp-idf,2.89
ethereum_ethereum-org-website,4.73
Expensify_App,9.32
expo_expo,1.86
facebook_react,1.29
facebook_react-native,2.23
filecoin-project_filecoin-plus-large-datasets,1.48
files-community_Files,2.29
firebase_firebase-android-sdk,6.48
