Ö¸±êÃû³Æ,activity,time,request,death,size,feedback,issue,quality,act_final,health,stars,month,contributor,fork
AdguardTeam_AdguardFilters,4,7.48,7.9,1.62,3,3.47,8.3,2.29,6.24,4.91,2479,99,1111,1015
airbytehq_airbyte,10,7.94,7.09,1.56,3,10,7.61,6.8,8.14,8,10503,32,3526,3070
alibaba_nacos,1.98,3.97,7.48,0.34,3,10,7.31,3.43,4.43,5.82,28198,58,1189,13411
angular_angular,2.57,6.87,2.36,0.2,4,9.57,6.86,5.72,3.91,6.18,104309,99,5380,33355
angular_components,1.09,4.98,5.69,0.34,3,6.46,7.21,5.34,3.87,5.5,27467,87,1929,9571
ankidroid_Anki-Android,3.96,4.61,7.7,0.61,3,6.57,6.61,6.05,5.34,6.05,6563,99,1095,2362
ansible_ansible,2.41,6.75,4.64,0.1,4,6.72,5.43,4.84,4.59,5.26,54395,99,9604,28300
ant-design_ant-design,1.17,6.63,8.01,1.15,4,10,6.38,4.59,5.12,6.19,108088,96,4780,49394
apache_airflow,6.65,7.59,5.25,0.11,3,10,6.31,6.67,6.48,7.21,31562,94,6369,14991
apache_apisix,5.2,5.13,8.07,0.21,3,10,7.14,7.62,6.11,7.55,12188,47,1058,2669
apache_arrow,9.8,6.5,3.32,1.63,3,9.32,3.81,8.83,6.32,7.17,11955,86,3216,3333
apache_beam,10,5.82,4.75,0.12,3,5.99,6,7.83,6.84,6.8,7201,86,5688,4727
apache_dolphinscheduler,5,5.48,8.08,0.2,3,10,7.25,4.4,6.16,6.62,11110,49,1566,4760
apache_doris,8.12,4.98,7.84,3.24,3,10,8.83,5.35,6.55,7.34,8441,68,2274,2581
apache_flink,10,5.7,3.35,0,3,10,3.13,8.25,6.35,7.01,22628,99,5766,14257
apache_hudi,7.55,6.44,6.97,3.42,3,6.09,5.28,8.81,6.53,6.88,4381,76,1766,2216
apache_iceberg,7.51,5.07,6.05,0.75,3,5.45,6.6,10,6.11,7.24,4244,53,1333,1670
apache_pulsar,8.04,6.35,6.4,1.52,3,10,6.68,6.07,6.73,7.18,13438,79,3077,3884
apache_shardingsphere,4.31,5.65,9.8,1.84,3,10,7.01,3.5,6.34,6.35,19581,87,1984,7507
apache_spark,10,10,4.08,0,3,10,0,10,8.03,7.41,38638,99,8197,31806
apache_superset,3.58,7.44,6.25,0.86,3,10,6.9,4.89,5.64,6.54,55405,93,3069,12817
apache_tvm,8.05,6.17,6.94,0,3,8.15,6.19,7.84,7.05,7.34,9810,68,3593,3715
apple_swift,10,8.07,5.69,0,3,10,6.13,5.13,7.92,7.14,74267,88,7770,14684
appsmithorg_appsmith,10,6.69,6.2,0.61,3,10,7.5,5.79,7.55,7.5,25367,33,2279,2505
archway-network_testnets,1.67,0.95,2.92,8.46,4,10,1.84,1.92,0.72,3.16,296,13,6,13575
ArduPilot_ardupilot,5.69,5.84,4.05,0,3,9.31,6.58,5.14,5.19,6.28,8248,99,3264,16687
argoproj_argo-cd,2.15,5.67,6.34,2.26,3,7.16,7.5,4.93,4.42,5.74,12709,62,1990,4192
AUTOMATIC1111_stable-diffusion-webui,2.02,10,7.51,1.25,4,10,5.42,3.43,6.34,6.02,54472,8,538,10257
Automattic_jetpack,9.19,5.78,6.47,0,3,1.67,6.89,5.22,7.15,5.42,1517,99,7160,963
Automattic_wp-calypso,10,8.21,7.76,0,3,3.58,6.82,5.94,8.66,6.46,13958,89,12387,2767
aws-amplify_amplify-cli,2.43,4.51,6.58,0,3,2.21,7.12,5.54,4.51,4.88,2881,56,1371,967
aws_aws-cdk,3.74,7.03,4.49,0.35,3,4.32,6.87,7.23,5.04,5.92,10362,57,4043,3933
azerothcore_azerothcore-wotlk,5.2,5.02,6.64,0.12,3,5.62,6.89,4.5,5.6,5.53,3414,82,1512,2843
