指标名称,指标值
AdguardTeam_AdguardFilters,3.47
airbytehq_airbyte,10.0
alibaba_nacos,10.0
angular_angular,9.57
angular_components,6.46
ankidroid_Anki-Android,6.57
ansible_ansible,6.72
ant-design_ant-design,10.0
apache_airflow,10.0
apache_apisix,10.0
apache_arrow,9.32
apache_beam,5.99
apache_dolphinscheduler,10.0
apache_doris,10.0
apache_flink,10.0
apache_hudi,6.09
apache_iceberg,5.45
apache_pulsar,10.0
apache_shardingsphere,10.0
apache_spark,10.0
apache_superset,10.0
apache_tvm,8.15
apple_swift,10.0
appsmithorg_appsmith,10.0
archway-network_testnets,10.0
ArduPilot_ardupilot,9.31
argoproj_argo-cd,7.16
AUTOMATIC1111_stable-diffusion-webui,10.0
Automattic_jetpack,1.67
Automattic_wp-calypso,3.58
aws-amplify_amplify-cli,2.21
aws_aws-cdk,4.32
azerothcore_azerothcore-wotlk,5.62
Azure_azure-cli,2.44
Azure_azure-powershell,2.72
Azure_azure-rest-api-specs,2.6
Azure_azure-sdk-for-java,2.94
Azure_azure-sdk-for-js,3.39
Azure_azure-sdk-for-net,3.2
Azure_azure-sdk-for-python,3.7
backstage_backstage,10.0
bevyengine_bevy,10.0
bioconda_bioconda-recipes,2.6
bitcoin_bitcoin,10.0
bitnami_charts,6.57
brave_brave-browser,4.77
brave_brave-core,3.95
ccxt_ccxt,10.0
ceph_ceph,4.73
Chia-Network_chia-blockchain,5.13
cilium_cilium,10.0
CleverRaven_Cataclysm-DDA,3.39
ClickHouse_ClickHouse,8.9
cloudflare_cloudflare-docs,5.79
cms-sw_cmssw,1.97
cockroachdb_cockroach,10.0
conan-io_conan-center-index,2.22
conda-forge_staged-recipes,2.39
containers_podman,5.4
coolsnowwolf_lede,10.0
cypress-io_cypress,7.35
darktable-org_darktable,6.1
DataDog_datadog-agent,2.65
dbeaver_dbeaver,6.87
DefinitelyTyped_DefinitelyTyped,5.77
demisto_content,2.54
denoland_deno,10.0
department-of-veterans-affairs_va.gov-team,3.07
desktop_desktop,7.4
directus_directus,10.0
docker_docs,5.17
dotnet_aspnetcore,4.89
dotnet_AspNetCore.Docs,10.0
dotnet_docs,4.58
dotnet_efcore,3.75
dotnet_maui,10.0
dotnet_roslyn,3.97
dotnet_runtime,2.98
education_GitHubGraduation-2022,4.44
elastic_elasticsearch,9.13
elastic_kibana,3.23
electron_electron,10.0
element-fi_elf-council-frontend,9.58
element-plus_element-plus,10.0
elementor_elementor,2.64
envoyproxy_envoy,7.89
espressif_esp-idf,4.97
ethereum_ethereum-org-website,8.3
Expensify_App,2.19
expo_expo,7.01
facebook_react,10.0
facebook_react-native,6.86
filecoin-project_filecoin-plus-large-datasets,1.69
files-community_Files,10.0
firebase_firebase-android-sdk,3.26
firebase_flutterfire,4.26
firstcontributions_first-contributions,8.53
flathub_flathub,3.05
flutter_engine,8.09
flutter_flutter,10.0
flutter_plugins,10.0
flybywiresim_a32nx,4.49
freddier_hyperblog,10.0
gatsbyjs_gatsby,10.0
gentoo_gentoo,2.19
getsentry_sentry,9.89
github_codeql,5.36
github_docs,10.0
gitpod-io_gitpod,6.82
go-gitea_gitea,8.47
godotengine_godot,6.0
golang_go,7.85
google-test_signclav2-probe-repo,1.71
google_it-cert-automation-practice,7.38
GoogleChrome_developer.chrome.com,4.64
gradle_gradle,6.6
grafana_grafana,5.42
grafana_loki,10.0
gravitational_teleport,10.0
grpc_grpc,10.0
hashicorp_terraform-provider-aws,2.83
hashicorp_terraform-provider-azurerm,2.69
hashicorp_vault,8.27
helium_denylist,10.0
helix-editor_helix,10.0
home-assistant_core,5.48
home-assistant_frontend,4.02
home-assistant_home-assistant.io,4.32
Homebrew_homebrew-cask,4.87
Homebrew_homebrew-core,3.97
huggingface_transformers,10.0
idsb3t1_KEEP-pipeline-tests-resources,5.54
influxdata_telegraf,5.91
IntelRealSense_librealsense,5.04
istio_istio,8.18
JacksonKearl_testissues,10.0
JetBrains_swot,6.78
jitsi_jitsi-meet,6.81
jlord_patchwork,6.89
joomla_joomla-cms,2.36
JuliaLang_julia,6.54
JuliaRegistries_General,3.96
Kaiserreich_Kaiserreich-4,2.96
keycloak_keycloak,10.0
Koenkk_zigbee2mqtt,3.05
kubernetes_kubernetes,5.96
kubernetes_minikube,6.96
kubernetes_test-infra,2.63
kubernetes_website,3.82
kubevirt_kubevirt,4.41
laravel_framework,4.95
leanprover-community_mathlib,2.9
LeetCode-Feedback_LeetCode-Feedback,2.65
lensapp_lens,10.0
Lightning-AI_lightning,10.0
llvm_llvm-project,10.0
logseq_logseq,10.0
macports_macports-ports,2.85
magento_magento2,2.71
MarlinFirmware_Marlin,6.17
mastodon_mastodon,10.0
matplotlib_matplotlib,6.62
matrix-org_synapse,7.81
mattermost_mattermost-webapp,5.38
mdn_content,10.0
mdn_translated-content,8.73
metabase_metabase,8.02
MetaMask_eth-phishing-detect,3.49
MetaMask_metamask-extension,4.42
metersphere_metersphere,10.0
microsoft_azuredatastudio,3.76
microsoft_fluentui,5.08
microsoft_onnxruntime,4.65
microsoft_playwright,10.0
microsoft_PowerToys,10.0
microsoft_terminal,10.0
microsoft_TypeScript,6.37
microsoft_vcpkg,5.1
microsoft_vscode,4.09
microsoft_vscode-jupyter,2.19
microsoft_winget-pkgs,5.88
microsoft_WSL,2.62
MicrosoftDocs_azure-docs,2.6
MicrosoftDocs_microsoft-365-docs,2.82
MicrosoftDocs_msteams-docs,1.83
microsoftgraph_microsoft-graph-docs,2.48
mlflow_mlflow,10.0
mozilla-mobile_fenix,6.36
mrdoob_three.js,10.0
mui_material-ui,10.0
mui_mui-x,4.19
neovim_neovim,10.0
newrelic_docs-website,3.68
nextcloud_desktop,2.2
nextcloud_server,3.66
NixOS_nixpkgs,2.11
nodejs_node,10.0
nrfconnect_sdk-nrf,2.2
nrwl_nx,4.83
nuxt_framework,7.15
o3de_o3de,8.43
obsproject_obs-studio,10.0
odoo_odoo,5.61
open-mmlab_mmdetection,10.0
open-telemetry_opentelemetry-collector-contrib,3.54
OpenAPITools_openapi-generator,6.08
opencv_opencv,10.0
openhab_openhab-addons,3.3
openjdk_jdk,10.0
openjournals_joss-reviews,1.44
openshift_openshift-docs,1.49
openshift_release,2.05
openssl_openssl,9.81
openvinotoolkit_openvino,5.16
openwrt_openwrt,10.0
oppia_oppia,5.41
PaddlePaddle_Paddle,4.26
PaddlePaddle_PaddleOCR,10.0
pandas-dev_pandas,7.04
php_php-src,10.0
pingcap_tidb,10.0
PixelExperience_android-issues,2.36
postmanlabs_postman-app-support,1.97
PowerShell_PowerShell,9.83
ppy_osu,9.69
PrestaShop_PrestaShop,4.97
prisma_prisma,8.11
project-chip_connectedhomeip,6.21
prusa3d_PrusaSlicer,3.27
python_cpython,10.0
pytorch_pytorch,7.54
qbittorrent_qBittorrent,3.95
qgis_QGIS,4.02
qmk_qmk-firmware,10.0
quarkusio_quarkus,4.29
rails_rails,6.1
rancher_rancher,4.32
rapid7_metasploit-framework,10.0
ray-project_ray,10.0
raycast_extensions,4.65
redis_redis,10.0
Regalis11_Barotrauma,3.82
remix-run_remix,10.0
renovatebot_renovate,6.27
RocketChat_Rocket.Chat,8.27
RPCS3_rpcs3,5.8
rstudio_rstudio,7.73
ruffle-rs_ruffle,10.0
rust-lang_rust,5.42
scikit-learn_scikit-learn,10.0
scipy_scipy,4.98
section-engineering-education_engineering-education,10.0
SerenityOS_serenity,10.0
ShadowMario_FNF-PsychEngine,4.75
Skyrat-SS13_Skyrat-tg,2.08
solana-labs_solana,8.11
solana-labs_token-list,10.0
sourcegraph_sourcegraph,10.0
spack_spack,2.74
spyder-ide_spyder,3.45
storybookjs_storybook,10.0
strapi_strapi,10.0
sveltejs_kit,7.27
symfony_symfony,4.2
systemd_systemd,3.53
tachiyomiorg_tachiyomi,9.69
tachiyomiorg_tachiyomi-extensions,3.31
tailscale_tailscale,9.47
taosdata_TDengine,10.0
taozhiyu_TyProAction,10.0
TeamNewPipe_NewPipe,7.49
tensorflow_tensorflow,10.0
termux_termux-packages,5.43
tgstation_tgstation,2.12
TP-Lab_tokens,5.92
trinodb_trino,5.68
trustwallet_assets,9.44
type-challenges_type-challenges,10.0
uBlockOrigin_uAssets,2.71
Ultimaker_Cura,2.54
ultralytics_yolov5,10.0
unifyai_ivy,10.0
ValveSoftware_Dota2-Gameplay,2.39
ValveSoftware_Proton,3.04
vectordotdev_vector,10.0
vercel_next.js,10.0
vitejs_vite,10.0
void-linux_void-packages,2.74
webcompat_web-bugs,2.7
wjz304_Redpill-CustomBuild,3.68
woocommerce_woocommerce,4.13
WordPress_gutenberg,2.88
xamarin_xamarin-macios,5.55
xbmc_xbmc,6.34
yt-dlp_yt-dlp,10.0
yuzu-emu_yuzu,10.0
zephyrproject-rtos_zephyr,6.99
zero-to-mastery_start-here-guidelines,6.66
ziglang_zig,10.0
zulip_zulip,9.26
