指标名称,指标值
AdguardTeam_AdguardFilters,1015.0
airbytehq_airbyte,3070.0
alibaba_nacos,13411.0
angular_angular,33355.0
angular_components,9571.0
ankidroid_Anki-Android,2362.0
ansible_ansible,28300.0
ant-design_ant-design,49394.0
apache_airflow,14991.0
apache_apisix,2669.0
apache_arrow,3333.0
apache_beam,4727.0
apache_dolphinscheduler,4760.0
apache_doris,2581.0
apache_flink,14257.0
apache_hudi,2216.0
apache_iceberg,1670.0
apache_pulsar,3884.0
apache_shardingsphere,7507.0
apache_spark,31806.0
apache_superset,12817.0
apache_tvm,3715.0
apple_swift,14684.0
appsmithorg_appsmith,2505.0
archway-network_testnets,13575.0
ArduPilot_ardupilot,16687.0
argoproj_argo-cd,4192.0
AUTOMATIC1111_stable-diffusion-webui,10257.0
Automattic_jetpack,963.0
Automattic_wp-calypso,2767.0
aws-amplify_amplify-cli,967.0
aws_aws-cdk,3933.0
azerothcore_azerothcore-wotlk,2843.0
Azure_azure-cli,3139.0
Azure_azure-powershell,4586.0
Azure_azure-rest-api-specs,6357.0
Azure_azure-sdk-for-java,1954.0
Azure_azure-sdk-for-js,1129.0
Azure_azure-sdk-for-net,5051.0
Azure_azure-sdk-for-python,2578.0
backstage_backstage,4677.0
bevyengine_bevy,3264.0
bioconda_bioconda-recipes,4567.0
bitcoin_bitcoin,31782.0
bitnami_charts,9698.0
brave_brave-browser,2411.0
brave_brave-core,954.0
ccxt_ccxt,8231.0
ceph_ceph,6573.0
Chia-Network_chia-blockchain,2405.0
cilium_cilium,2544.0
CleverRaven_Cataclysm-DDA,5420.0
ClickHouse_ClickHouse,6734.0
cloudflare_cloudflare-docs,2478.0
cms-sw_cmssw,3558.0
cockroachdb_cockroach,4151.0
conan-io_conan-center-index,1653.0
conda-forge_staged-recipes,5640.0
containers_podman,2389.0
coolsnowwolf_lede,44354.0
cypress-io_cypress,3897.0
darktable-org_darktable,1401.0
DataDog_datadog-agent,1225.0
dbeaver_dbeaver,3552.0
DefinitelyTyped_DefinitelyTyped,42350.0
demisto_content,1770.0
denoland_deno,6794.0
department-of-veterans-affairs_va.gov-team,233.0
desktop_desktop,9569.0
directus_directus,3444.0
docker_docs,8315.0
dotnet_aspnetcore,11383.0
dotnet_AspNetCore.Docs,32411.0
dotnet_docs,8071.0
dotnet_efcore,4169.0
dotnet_maui,1552.0
dotnet_roslyn,5669.0
dotnet_runtime,4875.0
education_GitHubGraduation-2022,7960.0
elastic_elasticsearch,27372.0
elastic_kibana,8828.0
electron_electron,20747.0
element-fi_elf-council-frontend,117.0
element-plus_element-plus,9757.0
elementor_elementor,1594.0
envoyproxy_envoy,4806.0
espressif_esp-idf,7852.0
ethereum_ethereum-org-website,4406.0
Expensify_App,961.0
expo_expo,5093.0
facebook_react,59469.0
facebook_react-native,31878.0
filecoin-project_filecoin-plus-large-datasets,79.0
files-community_Files,2615.0
firebase_firebase-android-sdk,599.0
firebase_flutterfire,4607.0
firstcontributions_first-contributions,77199.0
flathub_flathub,2251.0
flutter_engine,6562.0
flutter_flutter,34218.0
flutter_plugins,12241.0
flybywiresim_a32nx,1605.0
freddier_hyperblog,16332.0
gatsbyjs_gatsby,16236.0
gentoo_gentoo,3344.0
getsentry_sentry,4046.0
github_codeql,1471.0
github_docs,62071.0
gitpod-io_gitpod,1325.0
go-gitea_gitea,6552.0
godotengine_godot,15412.0
golang_go,21678.0
google-test_signclav2-probe-repo,19.0
google_it-cert-automation-practice,42805.0
GoogleChrome_developer.chrome.com,1391.0
gradle_gradle,4610.0
grafana_grafana,13180.0
grafana_loki,3168.0
gravitational_teleport,1775.0
grpc_grpc,12452.0
hashicorp_terraform-provider-aws,9115.0
hashicorp_terraform-provider-azurerm,4829.0
hashicorp_vault,4797.0
helium_denylist,246.0
helix-editor_helix,1834.0
home-assistant_core,30780.0
home-assistant_frontend,2641.0
home-assistant_home-assistant.io,9781.0
Homebrew_homebrew-cask,19694.0
Homebrew_homebrew-core,18114.0
huggingface_transformers,22426.0
idsb3t1_KEEP-pipeline-tests-resources,31.0
influxdata_telegraf,7023.0
IntelRealSense_librealsense,5607.0
istio_istio,8193.0
JacksonKearl_testissues,42.0
JetBrains_swot,20370.0
jitsi_jitsi-meet,7596.0
jlord_patchwork,56229.0
joomla_joomla-cms,4270.0
JuliaLang_julia,6805.0
JuliaRegistries_General,688.0
Kaiserreich_Kaiserreich-4,87.0
keycloak_keycloak,6562.0
Koenkk_zigbee2mqtt,1970.0
kubernetes_kubernetes,43198.0
kubernetes_minikube,5323.0
kubernetes_test-infra,2603.0
kubernetes_website,16042.0
kubevirt_kubevirt,1131.0
laravel_framework,20081.0
leanprover-community_mathlib,395.0
LeetCode-Feedback_LeetCode-Feedback,278.0
lensapp_lens,1797.0
Lightning-AI_lightning,3598.0
llvm_llvm-project,8347.0
logseq_logseq,1670.0
macports_macports-ports,2033.0
magento_magento2,12212.0
MarlinFirmware_Marlin,20224.0
mastodon_mastodon,9231.0
matplotlib_matplotlib,8044.0
matrix-org_synapse,2728.0
mattermost_mattermost-webapp,3551.0
mdn_content,18780.0
mdn_translated-content,7253.0
metabase_metabase,5175.0
MetaMask_eth-phishing-detect,828.0
MetaMask_metamask-extension,4011.0
metersphere_metersphere,2380.0
microsoft_azuredatastudio,1059.0
microsoft_fluentui,3047.0
microsoft_onnxruntime,2337.0
microsoft_playwright,2865.0
microsoft_PowerToys,6691.0
microsoft_terminal,10470.0
microsoft_TypeScript,16088.0
microsoft_vcpkg,7488.0
microsoft_vscode,12711.0
microsoft_vscode-jupyter,243.0
microsoft_winget-pkgs,6138.0
microsoft_WSL,972.0
MicrosoftDocs_azure-docs,23265.0
MicrosoftDocs_microsoft-365-docs,1796.0
MicrosoftDocs_msteams-docs,525.0
microsoftgraph_microsoft-graph-docs,2449.0
mlflow_mlflow,3721.0
mozilla-mobile_fenix,1578.0
mrdoob_three.js,41323.0
mui_material-ui,42436.0
mui_mui-x,712.0
neovim_neovim,6532.0
newrelic_docs-website,1201.0
nextcloud_desktop,903.0
nextcloud_server,4812.0
NixOS_nixpkgs,13207.0
nodejs_node,35223.0
nrfconnect_sdk-nrf,1117.0
nrwl_nx,2167.0
nuxt_framework,1447.0
o3de_o3de,2165.0
obsproject_obs-studio,8799.0
odoo_odoo,22788.0
open-mmlab_mmdetection,9945.0
open-telemetry_opentelemetry-collector-contrib,1578.0
OpenAPITools_openapi-generator,6149.0
opencv_opencv,67408.0
openhab_openhab-addons,4347.0
openjdk_jdk,5290.0
openjournals_joss-reviews,99.0
openshift_openshift-docs,1930.0
openshift_release,1450.0
openssl_openssl,10826.0
openvinotoolkit_openvino,1802.0
openwrt_openwrt,12210.0
oppia_oppia,4467.0
PaddlePaddle_Paddle,2933.0
PaddlePaddle_PaddleOCR,6773.0
pandas-dev_pandas,19897.0
php_php-src,9456.0
pingcap_tidb,6830.0
PixelExperience_android-issues,70.0
postmanlabs_postman-app-support,749.0
PowerShell_PowerShell,7856.0
ppy_osu,3825.0
PrestaShop_PrestaShop,5930.0
prisma_prisma,1426.0
project-chip_connectedhomeip,1564.0
prusa3d_PrusaSlicer,1556.0
python_cpython,36263.0
pytorch_pytorch,22920.0
qbittorrent_qBittorrent,3462.0
qgis_QGIS,2905.0
qmk_qmk-firmware,35776.0
quarkusio_quarkus,2795.0
rails_rails,21034.0
rancher_rancher,3460.0
rapid7_metasploit-framework,13890.0
ray-project_ray,5242.0
raycast_extensions,1831.0
redis_redis,18477.0
Regalis11_Barotrauma,505.0
remix-run_remix,2295.0
renovatebot_renovate,1972.0
RocketChat_Rocket.Chat,11808.0
RPCS3_rpcs3,3814.0
rstudio_rstudio,1249.0
ruffle-rs_ruffle,809.0
rust-lang_rust,13971.0
scikit-learn_scikit-learn,28948.0
scipy_scipy,6520.0
section-engineering-education_engineering-education,1376.0
SerenityOS_serenity,3899.0
ShadowMario_FNF-PsychEngine,2306.0
Skyrat-SS13_Skyrat-tg,844.0
solana-labs_solana,3211.0
solana-labs_token-list,25523.0
sourcegraph_sourcegraph,1579.0
spack_spack,2625.0
spyder-ide_spyder,2109.0
storybookjs_storybook,10691.0
strapi_strapi,8896.0
sveltejs_kit,1697.0
symfony_symfony,10907.0
systemd_systemd,4644.0
tachiyomiorg_tachiyomi,3102.0
tachiyomiorg_tachiyomi-extensions,1857.0
tailscale_tailscale,873.0
taosdata_TDengine,5198.0
taozhiyu_TyProAction,252.0
TeamNewPipe_NewPipe,3745.0
tensorflow_tensorflow,107854.0
termux_termux-packages,3773.0
tgstation_tgstation,6612.0
TP-Lab_tokens,7293.0
trinodb_trino,2622.0
trustwallet_assets,22344.0
type-challenges_type-challenges,3710.0
uBlockOrigin_uAssets,969.0
Ultimaker_Cura,2282.0
ultralytics_yolov5,15268.0
unifyai_ivy,6250.0
ValveSoftware_Dota2-Gameplay,42.0
ValveSoftware_Proton,1098.0
vectordotdev_vector,1205.0
vercel_next.js,33756.0
vitejs_vite,6053.0
void-linux_void-packages,3421.0
webcompat_web-bugs,181.0
wjz304_Redpill-CustomBuild,575.0
woocommerce_woocommerce,12775.0
WordPress_gutenberg,4523.0
xamarin_xamarin-macios,614.0
xbmc_xbmc,6107.0
yt-dlp_yt-dlp,5072.0
yuzu-emu_yuzu,3619.0
zephyrproject-rtos_zephyr,5814.0
zero-to-mastery_start-here-guidelines,20135.0
ziglang_zig,2208.0
zulip_zulip,8536.0
