指标名称,指标值
AdguardTeam_AdguardFilters,7.9
airbytehq_airbyte,7.09
alibaba_nacos,7.48
angular_angular,2.36
angular_components,5.69
ankidroid_Anki-Android,7.7
ansible_ansible,4.64
ant-design_ant-design,8.01
apache_airflow,5.25
apache_apisix,8.07
apache_arrow,3.32
apache_beam,4.75
apache_dolphinscheduler,8.08
apache_doris,7.84
apache_flink,3.35
apache_hudi,6.97
apache_iceberg,6.05
apache_pulsar,6.4
apache_shardingsphere,9.8
apache_spark,4.08
apache_superset,6.25
apache_tvm,6.94
apple_swift,5.69
appsmithorg_appsmith,6.2
archway-network_testnets,2.92
ArduPilot_ardupilot,4.05
argoproj_argo-cd,6.34
AUTOMATIC1111_stable-diffusion-webui,7.51
Automattic_jetpack,6.47
Automattic_wp-calypso,7.76
aws-amplify_amplify-cli,6.58
aws_aws-cdk,4.49
azerothcore_azerothcore-wotlk,6.64
Azure_azure-cli,7.8
Azure_azure-powershell,7.62
Azure_azure-rest-api-specs,6.81
Azure_azure-sdk-for-java,6.96
Azure_azure-sdk-for-js,5.75
Azure_azure-sdk-for-net,7.81
Azure_azure-sdk-for-python,5.54
backstage_backstage,9.0
bevyengine_bevy,3.28
bioconda_bioconda-recipes,5.74
bitcoin_bitcoin,6.24
bitnami_charts,8.68
brave_brave-browser,7.49
brave_brave-core,6.54
ccxt_ccxt,6.62
ceph_ceph,4.56
Chia-Network_chia-blockchain,7.0
cilium_cilium,6.95
CleverRaven_Cataclysm-DDA,6.11
ClickHouse_ClickHouse,6.75
cloudflare_cloudflare-docs,7.36
cms-sw_cmssw,8.31
cockroachdb_cockroach,7.84
conan-io_conan-center-index,7.68
conda-forge_staged-recipes,7.46
containers_podman,8.82
coolsnowwolf_lede,5.72
cypress-io_cypress,4.95
darktable-org_darktable,6.89
DataDog_datadog-agent,5.75
dbeaver_dbeaver,8.62
DefinitelyTyped_DefinitelyTyped,7.44
demisto_content,6.76
denoland_deno,7.02
department-of-veterans-affairs_va.gov-team,5.94
desktop_desktop,5.46
directus_directus,7.79
docker_docs,6.0
dotnet_aspnetcore,6.33
dotnet_AspNetCore.Docs,8.89
dotnet_docs,8.19
dotnet_efcore,7.99
dotnet_maui,5.68
dotnet_roslyn,5.25
dotnet_runtime,6.61
education_GitHubGraduation-2022,4.94
