指标名称,指标值
AdguardTeam_AdguardFilters,2479.0
airbytehq_airbyte,10503.0
alibaba_nacos,28198.0
angular_angular,104309.0
angular_components,27467.0
ankidroid_Anki-Android,6563.0
ansible_ansible,54395.0
ant-design_ant-design,108088.0
apache_airflow,31562.0
apache_apisix,12188.0
apache_arrow,11955.0
apache_beam,7201.0
apache_dolphinscheduler,11110.0
apache_doris,8441.0
apache_flink,22628.0
apache_hudi,4381.0
apache_iceberg,4244.0
apache_pulsar,13438.0
apache_shardingsphere,19581.0
apache_spark,38638.0
apache_superset,55405.0
apache_tvm,9810.0
apple_swift,74267.0
appsmithorg_appsmith,25367.0
archway-network_testnets,296.0
ArduPilot_ardupilot,8248.0
argoproj_argo-cd,12709.0
AUTOMATIC1111_stable-diffusion-webui,54472.0
Automattic_jetpack,1517.0
Automattic_wp-calypso,13958.0
aws-amplify_amplify-cli,2881.0
aws_aws-cdk,10362.0
azerothcore_azerothcore-wotlk,3414.0
Azure_azure-cli,3929.0
Azure_azure-powershell,3892.0
Azure_azure-rest-api-specs,2217.0
Azure_azure-sdk-for-java,1867.0
Azure_azure-sdk-for-js,1741.0
Azure_azure-sdk-for-net,4612.0
Azure_azure-sdk-for-python,3815.0
backstage_backstage,22058.0
bevyengine_bevy,25909.0
bioconda_bioconda-recipes,1652.0
bitcoin_bitcoin,73316.0
bitnami_charts,7153.0
brave_brave-browser,17704.0
brave_brave-core,2297.0
ccxt_ccxt,30688.0
ceph_ceph,12551.0
Chia-Network_chia-blockchain,12942.0
cilium_cilium,15321.0
CleverRaven_Cataclysm-DDA,9153.0
ClickHouse_ClickHouse,30104.0
cloudflare_cloudflare-docs,1943.0
cms-sw_cmssw,934.0
cockroachdb_cockroach,26914.0
conan-io_conan-center-index,764.0
conda-forge_staged-recipes,689.0
containers_podman,18436.0
coolsnowwolf_lede,29853.0
cypress-io_cypress,46110.0
darktable-org_darktable,7680.0
DataDog_datadog-agent,2170.0
dbeaver_dbeaver,33304.0
DefinitelyTyped_DefinitelyTyped,43783.0
demisto_content,973.0
denoland_deno,94625.0
department-of-veterans-affairs_va.gov-team,312.0
desktop_desktop,27189.0
directus_directus,22078.0
docker_docs,4271.0
dotnet_aspnetcore,33529.0
dotnet_AspNetCore.Docs,13438.0
dotnet_docs,4248.0
dotnet_efcore,12945.0
dotnet_maui,21270.0
dotnet_roslyn,19788.0
dotnet_runtime,12860.0
education_GitHubGraduation-2022,1645.0
elastic_elasticsearch,62531.0
elastic_kibana,17564.0
electron_electron,117969.0
element-fi_elf-council-frontend,150.0
element-plus_element-plus,20515.0
elementor_elementor,5656.0
envoyproxy_envoy,22723.0
espressif_esp-idf,11075.0
ethereum_ethereum-org-website,4319.0
Expensify_App,886.0
expo_expo,21308.0
facebook_react,228316.0
facebook_react-native,126766.0
filecoin-project_filecoin-plus-large-datasets,144.0
files-community_Files,29405.0
firebase_firebase-android-sdk,2191.0
firebase_flutterfire,8535.0
firstcontributions_first-contributions,37123.0
flathub_flathub,998.0
flutter_engine,7080.0
